시점,구별(1),전체_소계,시세_소계,구세_소계,시세_취득세,시세_레저세,시세_주민세,시세_자동차세,시세_담배소비세,시세_재산세,시세_지방소득세,시세_지방소비세,구세_등록면허세,구세_주민세,구세_재산세,구세_종합토지세,구세_면허세,구세_지방소득세,구세_지방소비세,목적세_시세_지역자원시설세,목적세_시세_지방교육세,목적세_구세_사업소세,과년도수입_시셰_소계,과년도수입_구셰_소계
2020년,영등포구,"1,763,015","1,577,649","185,366","565,233","4,172","67,382","27,663",-,"144,087","649,609",-,"51,133",-,"131,212",-,-,"2,308",-,"20,298","92,411",-,"6,793",713
2020년,동작구,"555,482","442,229","113,252","204,653",-,"7,529","21,743",-,"83,726","73,671",-,"10,023",-,"99,167",-,-,"3,777",-,"6,480","39,824",-,"4,603",286
2020년,관악구,"468,992","361,690","107,302","161,700","1,471","5,703","21,403",-,"68,343","56,941",-,"10,011",-,"91,701",-,-,"4,592",-,"7,275","33,054",-,"5,799",998
2020년,서초구,"2,263,294","1,971,071","292,223","657,559",0,"55,107","41,774",-,"361,958","671,136",-,"42,051",-,"248,335",-,-,470,0,"23,198","149,721",-,"10,618","1,367"
2020년,강남구,"3,854,409","3,380,775","473,634","979,093","2,558","109,762","54,479",-,"612,630","1,317,569",-,"84,652",-,"386,457",-,-,-,-,"41,213","247,580",-,"15,890","2,525"
2020년,송파구,"1,679,802","1,434,243","245,559","514,769",-,"35,745","50,715",-,"309,537","363,480",-,"28,228",-,"214,599",-,-,"1,683",-,"25,612","123,407",-,"10,979","1,049"
2020년,강동구,"940,722","803,799","136,923","458,397","1,860","12,555","27,354",-,"117,372","99,745",-,"18,059",-,"114,894",-,-,"3,598",-,"9,983","71,045",-,"5,489",372
2021년,합계,"30,133,873","26,001,189","4,132,684","8,010,035","4,439","638,590","1,164,093","594,186","3,646,069","7,427,344","2,077,641","545,008",-,"3,483,122",-1,0,-,"83,291","316,084","1,886,954",-,"235,753","21,264"
2021년,본청,"3,529,119","3,529,119",-,-74,-,-,"539,954","594,186",-,-294,"2,077,641",-,-,-,-,-,-,-,-,"261,376",-,"56,330",-
2021년,종로구,"1,245,726","1,090,273","155,453","245,347",189,"50,136","9,827",-,"113,187","601,585",-,"25,561",-,"127,250",-,-,-,"1,420","13,115","52,026",-,"4,861","1,222"
2021년,중구,"1,846,319","1,657,232","189,087","275,802",84,"74,390","12,242",-,"164,007","1,036,419",-,"32,964",-,"154,933",-,0,-,377,"21,696","68,467",-,"4,125",814
2021년,용산구,"1,257,715","1,084,328","173,387","464,397",-,"20,197","18,294",-,"161,628","325,868",-,"17,995",-,"152,794",-,-,-,"1,681","10,364","78,237",-,"5,343",917
2021년,성동구,"857,949","713,253","144,696","317,386",-,"15,723","20,623",-,"117,867","169,117",-,"18,281",-,"123,259",-,-,-,"2,744","9,558","57,929",-,"5,049",412
2021년,광진구,"555,083","435,042","120,041","178,966",-,"6,260","18,884",-,"84,722","98,852",-,"10,082",-,"106,095",-,-,-,"3,317","6,438","35,532",-,"5,389",547
2021년,동대문구,"542,454","428,548","113,906","199,161",730,"8,480","18,746",-,"75,692","78,999",-,"9,234",-,"100,262",-,-,-,"4,166","7,070","35,705",-,"3,965",244
2021년,중랑구,"422,323","317,032","105,290","164,042",533,"4,644","19,592",-,"51,593","37,818",-,"10,193",-,"89,214",-,0,-,"4,589","4,911","27,647",-,"6,252","1,294"
2021년,성북구,"581,425","463,280","118,145","200,136",159,"5,722","24,049",-,"81,091","102,969",-,"10,966",-,"101,276",-,-,-,"5,237","6,649","36,343",-,"6,162",666
2021년,강북구,"304,578","209,602","94,976","102,808",327,"3,022","12,726",-,"37,810","26,884",-,"5,645",-,"84,419",-,-,-,"4,604","3,561","18,486",-,"3,978",307
2021년,도봉구,"332,607","237,208","95,399","114,595",282,"2,781","16,923",-,"39,800","34,970",-,"6,202",-,"84,404",-,-,-,"4,521","3,338","20,488",-,"4,031",271
2021년,노원구,"492,486","378,410","114,077","169,839",-,"6,173","28,731",-,"72,215","56,176",-,"10,553",-,"96,899",-,-,-,"6,203","5,832","33,458",-,"5,987",422
2021년,은평구,"508,672","394,336","114,336","184,602",-,"4,916","24,438",-,"75,809","56,870",-,"9,983",-,"98,853",-,-,-,"5,037","7,468","34,520",-,"5,712",464
2021년,서대문구,"495,952","382,185","113,768","150,903",-,"9,605","17,606",-,"72,457","90,549",-,"9,006",-,"100,330",-,-,-,"3,949","6,530","30,657",-,"3,880",483
2021년,마포구,"1,045,769","877,338","168,431","364,958",-,"27,598","24,632",-,"154,568","211,289",-,"23,325",-,"141,730",-,-,-,"2,508","17,604","70,048",-,"6,641",867
2021년,양천구,"671,972","533,544","138,429","197,008",-,"7,535","29,775",-,"122,085","116,089",-,"10,015",-,"123,996",-,-,-,"3,823","8,203","46,441",-,"6,408",595
2021년,강서구,"1,045,317","874,114","171,203","400,940",-,"30,941","35,267",-,"129,131","173,635",-,"26,984",-,"138,192",-,0,-,"5,219","19,321","72,638",-,"12,242",808
2021년,구로구,"658,308","537,527","120,781","230,296",-,"18,559","26,153",-,"79,074","124,758",-,"15,055",-,"100,919",-,-,-,"4,328","11,513","40,898",-,"6,276",479
2021년,금천구,"574,100","462,919","111,180","199,158",-,"20,483","15,915",-,"51,736","126,555",-,"16,642",-,"91,115",-,-,-,"3,207","12,414","32,026",-,"4,631",217
2021년,영등포구,"1,757,242","1,556,298","200,944","371,619",967,"75,643","28,673",-,"168,786","793,979",-,"48,431",-,"149,300",-,0,-,"2,182","23,354","80,178",-,"13,099","1,031"
2021년,동작구,"692,161","564,515","127,647","279,503",-,"7,677","22,060",-,"96,057","99,427",-,"12,970",-,"110,359",-1,-,-,"3,895","6,813","47,898",-,"5,079",424
2021년,관악구,"486,897","373,847","113,050","163,235",193,"5,663","21,514",-,"72,620","65,336",-,"8,673",-,"98,938",-,-,-,"4,950","7,266","31,904",-,"6,116",489
